timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length
1506945812.535132,2.1.1.2,2.1.1.1,,,,1010
1506945812.535197,2.1.1.2,2.1.1.1,,,,466
1506945812.535641,2.1.1.1,2.1.1.2,,,,1442
